"id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","degs","z9_1","z10_3","z10_1","z9_2","z11_2","z11_3","z10_2","z11_1","z1_3","z9_3","z1_1","z1_2","mean"
"z6_1_k97_174236_1",35.0461967264321,1.71482789027065,0.602651459294364,2.8454720615437,0.00443456494231504,0.190641188299144,"MV_vs_Control",1.210541207,0.411002773,0.992546752,3.807933653,3.454016533,1.626154573,1.399903642,2.684624874,1.979476659,3.932217381,2.055547236,1.073376734,2.05227850141667
"z6_1_k97_175066_2",78.072988449097,1.82180049914216,0.55692286799363,3.27118996873907,0.00107095943470474,0.0860112290214163,"MV_vs_Control",1.410534906,0.905129703,1.110264532,0.822869785,6.26121349,6.086718586,0.734031872,2.198644092,1.028042809,1.154628624,1.061233261,0.727335661,1.95838727675
"z6_1_k97_177276_1",54.0658284563086,2.31217709517107,0.635558216749769,3.63802565089236,0.000274736068189198,0.0392726868143105,"MV_vs_Control",1.399799862,0.509206975,0.273267542,1.086522233,4.401578591,5.57918247,0.925010076,2.660867132,0.560559762,0.909397766,0.783598674,0.450102157,1.62825777
"z6_1_k97_17941_2",27.45620779473,-1.27823062571876,0.55892714095797,-2.28693604595394,0.0221995562806897,1,"NHQ_vs_Control",3.982572349,2.116428073,2.129602227,2.079707408,2.699691083,3.381711367,1.051268635,1.974896459,0.606736141,2.362343622,1.424888624,1.062937172,2.07273193
"z6_1_k97_180850_4",99.5010596058758,1.29287538718727,0.379697463943323,3.40501454436961,0.000661605299789186,0.0647286831208469,"MV_vs_Control",2.097590389,1.942291586,1.511388584,2.726560345,6.587407058,5.379346773,2.315452437,3.926877453,1.915442956,2.167973577,1.531819687,1.131557167,2.76947566766667
"z6_1_k97_18248_1",40.521011278186,-1.3559153637878,0.557151815564927,-2.4336551114223,0.0149472296338922,0.357944383715358,"MV_vs_Control",2.61234326,1.463454961,2.49889741,0.448227608,1.357648117,0.971788237,1.283919332,2.482890057,1.098437915,1.78199909,0.614196417,1.550167911,1.51366419291667
"z6_1_k97_183194_1",22.4661437480765,-1.31473696014485,0.580819457704698,-2.26358973120576,0.0235993600178307,1,"NHQ_vs_Control",2.059178008,1.076295032,1.332916502,1.022754363,1.689734707,0.907118876,0.657988282,0.618043136,0.531658,0.950521611,0.700728886,0.931408256,1.03986213825
"z6_1_k97_184140_2",48.9998370004554,-1.40682188344944,0.49310571150559,-2.85298233345143,0.00433110292998278,0.188370565084335,"MV_vs_Control",3.267963093,1.704900392,2.091291922,0.341902012,1.388916701,1.111900563,1.590014013,2.575724747,1.955038676,1.708815454,1.592902702,0.880719371,1.68417413716667
"z6_1_k97_185481_15",70.2934770264852,-1.23962659591529,0.55937587428722,-2.21608877482404,0.0266854228688005,1,"NR_vs_Control",0.724255423,1.632155243,1.573653184,0.55920704,0.996350923,0.673555149,2.701096129,1.239057634,0.710581365,0.458758694,0.766269088,0.555742392,1.049223522
"z6_1_k97_187484_2",103.068129709638,-1.23518438080334,0.496387489065374,-2.48834712399584,0.0128338400313211,0.333486176608203,"MV_vs_Control",2.768613163,5.287495135,5.074208981,2.025908027,1.792354525,2.347612756,3.319411158,3.095783639,4.622345496,1.66640996,5.982881769,3.699021359,3.47350383066667
