"gene_id","tSNE1","tSNE2","DGI_label","DGI_sub_label","Kmeans_label","Kmeans_subcel_label","HC_label"
"g_24656",-18.1722493027002,-9.56932808737162,"Cluster 5","Cluster 6","Cluster 1","Cluster 4","Cluster 3"
"g_24657",4.76985087227449,-14.0511882263374,"Cluster 1","Cluster 3","Cluster 4","Cluster 5","Cluster 1"
"g_24658",21.7396100044023,-7.06695613106858,"Cluster 1","Cluster 3","Cluster 4","Cluster 5","Cluster 1"
"g_24661",26.5396675195462,13.6095207742523,"Cluster 4","Cluster 5","Cluster 4","Cluster 2","Cluster 1"
"g_24663",14.1802856129967,-6.38408247670607,"Cluster 1","Cluster 3","Cluster 4","Cluster 5","Cluster 1"
"g_24665",2.40356789449219,-25.8830978859424,"Cluster 1","Cluster 3","Cluster 4","Cluster 5","Cluster 1"
"g_24668",32.7514237267441,-21.8509322095359,"Cluster 1","Cluster 3","Cluster 5","Cluster 6","Cluster 1"
"g_24669",-0.50474554665949,-41.8608473794073,"Cluster 1","Cluster 3","Cluster 5","Cluster 6","Cluster 1"
"g_24670",-49.8861766766066,-14.0437560001122,"Cluster 2","Cluster 4","Cluster 7","Cluster 1","Cluster 2"
"g_24677",42.1858424704389,20.6232049889256,"Cluster 4","Cluster 5","Cluster 6","Cluster 6","Cluster 1"
"g_24679",39.7951219379192,-5.53218232598031,"Cluster 1","Cluster 3","Cluster 5","Cluster 5","Cluster 1"
"g_24683",10.7746494484042,-8.93348773067889,"Cluster 1","Cluster 3","Cluster 4","Cluster 5","Cluster 1"
"g_24684",-26.2697858786871,45.1734809470025,"Cluster 6","Cluster 2","Cluster 6","Cluster 2","Cluster 1"
"g_24685",8.12374800114941,-40.5460132815772,"Cluster 1","Cluster 3","Cluster 5","Cluster 6","Cluster 1"
"g_24687",30.6068192571262,20.4445518218623,"Cluster 4","Cluster 5","Cluster 6","Cluster 2","Cluster 5"
"g_24688",1.0640364839447,-15.0185427192666,"Cluster 1","Cluster 3","Cluster 4","Cluster 5","Cluster 1"
"g_24689",13.7667348998033,1.11425167112807,"Cluster 1","Cluster 3","Cluster 4","Cluster 5","Cluster 1"
"g_24690",-16.5531655188646,-7.96389829201422,"Cluster 7","Cluster 1","Cluster 1","Cluster 4","Cluster 3"
"g_24691",35.141104442966,0.839632055629259,"Cluster 4","Cluster 3","Cluster 5","Cluster 6","Cluster 1"
"g_24693",-49.8126590593458,0.112921493314845,"Cluster 2","Cluster 4","Cluster 7","Cluster 1","Cluster 2"
"g_24694",22.5114230049101,15.9805664892654,"Cluster 4","Cluster 5","Cluster 4","Cluster 2","Cluster 1"
"g_24695",-13.0118009871519,1.42769987469885,"Cluster 7","Cluster 1","Cluster 3","Cluster 4","Cluster 3"
"g_24696",-10.3830716687989,-36.3098449154996,"Cluster 1","Cluster 3","Cluster 4","Cluster 5","Cluster 1"
"g_24699",33.3339070488466,-41.6353498433067,"Cluster 1","Cluster 3","Cluster 5","Cluster 6","Cluster 1"
