sourcettargettweighttcorrelationtbetweenness_centrality
urtA (g_08424)tlivG (g_45014)t0.885714285714286t-0.885714285714286t21
livG (g_51175)tcheV (g_56858)t0.828571428571429t0.828571428571429t3.02666666666667
livG (g_51175)trecA (g_55424)t0.942857142857143t0.942857142857143t2.32666666666667
livG (g_51175)tbfr (g_45324)t0.885714285714286t0.885714285714286t1.8
livG (g_51175)tribA, RIB1 (g_44444)t0.942857142857143t0.942857142857143t1.8
livG (g_51175)tfliC, hag (g_50908)t0.942857142857143t0.942857142857143t1.8
livG (g_51175)trpoH (g_03149)t1t1t1
livG (g_51175)tcspA (g_43147)t1t1t1
livG (g_51175)trpoE (g_51509)t1t1t1
livG (g_51175)tnorR (g_53435)t0.885714285714286t0.885714285714286t1.8
livG (g_51175)trpoS (g_53444)t0.942857142857143t0.942857142857143t1.8
livG (g_51175)trpoD (g_54509)t0.942857142857143t0.942857142857143t1.8
livK (g_51665)tTARS, thrS (g_53054)t0.942857142857143t0.942857142857143t2.32666666666667
livK (g_51665)tgarD (g_40627)t0.942857142857143t-0.942857142857143t2
livK (g_51665)tcheV (g_56858)t0.828571428571429t0.828571428571429t3.02666666666667
livK (g_51665)trecA (g_55424)t0.942857142857143t0.942857142857143t2.32666666666667
livK (g_51665)tbfr (g_45324)t0.885714285714286t0.885714285714286t1.8
livK (g_51665)tribA, RIB1 (g_44444)t0.942857142857143t0.942857142857143t1.8
livK (g_51665)tfliC, hag (g_50908)t0.942857142857143t0.942857142857143t1.8
livK (g_51665)trpoH (g_03149)t1t1t1
livK (g_51665)tcspA (g_43147)t1t1t1
livK (g_51665)trpoE (g_51509)t1t1t1
livK (g_51665)tnorR (g_53435)t0.885714285714286t0.885714285714286t1.8
livK (g_51665)trpoS (g_53444)t0.942857142857143t0.942857142857143t1.8
livK (g_51665)trpoD (g_54509)t0.942857142857143t0.942857142857143t1.8
TARS, thrS (g_53054)tgarD (g_40627)t1t-1t1
TARS, thrS (g_53054)trecA (g_55424)t1t1t1
TARS, thrS (g_53054)tbfr (g_45324)t0.942857142857143t0.942857142857143t1
TARS, thrS (g_53054)tribA, RIB1 (g_44444)t0.885714285714286t0.885714285714286t1
TARS, thrS (g_53054)tfliC, hag (g_50908)t0.885714285714286t0.885714285714286t1
TARS, thrS (g_53054)trpoH (g_03149)t0.942857142857143t0.942857142857143t2.32666666666667
TARS, thrS (g_53054)tcspA (g_43147)t0.942857142857143t0.942857142857143t2.32666666666667
TARS, thrS (g_53054)trpoE (g_51509)t0.942857142857143t0.942857142857143t2.32666666666667
TARS, thrS (g_53054)tnorR (g_53435)t0.942857142857143t0.942857142857143t1
TARS, thrS (g_53054)trpoS (g_53444)t0.885714285714286t0.885714285714286t1
TARS, thrS (g_53054)trpoD (g_54509)t0.885714285714286t0.885714285714286t1
garD (g_40627)trecA (g_55424)t1t-1t1
garD (g_40627)tbfr (g_45324)t0.942857142857143t-0.942857142857143t1
garD (g_40627)tribA, RIB1 (g_44444)t0.885714285714286t-0.885714285714286t1.25
garD (g_40627)tfliC, hag (g_50908)t0.885714285714286t-0.885714285714286t1.25
garD (g_40627)trpoH (g_03149)t0.942857142857143t-0.942857142857143t2
garD (g_40627)tcspA (g_43147)t0.942857142857143t-0.942857142857143t2
garD (g_40627)trpoE (g_51509)t0.942857142857143t-0.942857142857143t2
garD (g_40627)tnorR (g_53435)t0.942857142857143t-0.942857142857143t1
garD (g_40627)trpoS (g_53444)t0.885714285714286t-0.885714285714286t1.25
garD (g_40627)trpoD (g_54509)t0.885714285714286t-0.885714285714286t1.25
cheV (g_56858)tbfr (g_45324)t0.885714285714286t0.885714285714286t1
cheV (g_56858)tribA, RIB1 (g_44444)t0.942857142857143t0.942857142857143t1
cheV (g_56858)tfliC, hag (g_50908)t0.942857142857143t0.942857142857143t1
cheV (g_56858)trpoH (g_03149)t0.828571428571429t0.828571428571429t3.02666666666667
cheV (g_56858)tcspA (g_43147)t0.828571428571429t0.828571428571429t3.02666666666667
cheV (g_56858)trpoE (g_51509)t0.828571428571429t0.828571428571429t3.02666666666667
cheV (g_56858)tnorR (g_53435)t0.885714285714286t0.885714285714286t1
cheV (g_56858)trpoS (g_53444)t0.942857142857143t0.942857142857143t1
cheV (g_56858)trpoD (g_54509)t0.942857142857143t0.942857142857143t1
recA (g_55424)tbfr (g_45324)t0.942857142857143t0.942857142857143t1
recA (g_55424)tribA, RIB1 (g_44444)t0.885714285714286t0.885714285714286t1
recA (g_55424)tfliC, hag (g_50908)t0.885714285714286t0.885714285714286t1
recA (g_55424)trpoH (g_03149)t0.942857142857143t0.942857142857143t2.32666666666667
recA (g_55424)tcspA (g_43147)t0.942857142857143t0.942857142857143t2.32666666666667
recA (g_55424)trpoE (g_51509)t0.942857142857143t0.942857142857143t2.32666666666667
recA (g_55424)tnorR (g_53435)t0.942857142857143t0.942857142857143t1
recA (g_55424)trpoS (g_53444)t0.885714285714286t0.885714285714286t1
recA (g_55424)trpoD (g_54509)t0.885714285714286t0.885714285714286t1
bfr (g_45324)tribA, RIB1 (g_44444)t0.942857142857143t0.942857142857143t1
bfr (g_45324)tfliC, hag (g_50908)t0.942857142857143t0.942857142857143t1
bfr (g_45324)trpoH (g_03149)t0.885714285714286t0.885714285714286t1.8
bfr (g_45324)tcspA (g_43147)t0.885714285714286t0.885714285714286t1.8
bfr (g_45324)trpoE (g_51509)t0.885714285714286t0.885714285714286t1.8
bfr (g_45324)tnorR (g_53435)t1t1t1
bfr (g_45324)trpoS (g_53444)t0.942857142857143t0.942857142857143t1
bfr (g_45324)trpoD (g_54509)t0.942857142857143t0.942857142857143t1
ribA, RIB1 (g_44444)tfliC, hag (g_50908)t1t1t1
ribA, RIB1 (g_44444)trpoH (g_03149)t0.942857142857143t0.942857142857143t1.8
ribA, RIB1 (g_44444)tcspA (g_43147)t0.942857142857143t0.942857142857143t1.8
ribA, RIB1 (g_44444)trpoE (g_51509)t0.942857142857143t0.942857142857143t1.8
ribA, RIB1 (g_44444)tnorR (g_53435)t0.942857142857143t0.942857142857143t1
ribA, RIB1 (g_44444)trpoS (g_53444)t1t1t1
ribA, RIB1 (g_44444)trpoD (g_54509)t1t1t1
fliC, hag (g_50908)trpoH (g_03149)t0.942857142857143t0.942857142857143t1.8
fliC, hag (g_50908)tcspA (g_43147)t0.942857142857143t0.942857142857143t1.8
fliC, hag (g_50908)trpoE (g_51509)t0.942857142857143t0.942857142857143t1.8
fliC, hag (g_50908)tnorR (g_53435)t0.942857142857143t0.942857142857143t1
fliC, hag (g_50908)trpoS (g_53444)t1t1t1
fliC, hag (g_50908)trpoD (g_54509)t1t1t1
rpoH (g_03149)tcspA (g_43147)t1t1t1
rpoH (g_03149)trpoE (g_51509)t1t1t1
rpoH (g_03149)tnorR (g_53435)t0.885714285714286t0.885714285714286t1.8
rpoH (g_03149)trpoS (g_53444)t0.942857142857143t0.942857142857143t1.8
rpoH (g_03149)trpoD (g_54509)t0.942857142857143t0.942857142857143t1.8
cspA (g_43147)trpoE (g_51509)t1t1t1
cspA (g_43147)tnorR (g_53435)t0.885714285714286t0.885714285714286t1.8
cspA (g_43147)trpoS (g_53444)t0.942857142857143t0.942857142857143t1.8
cspA (g_43147)trpoD (g_54509)t0.942857142857143t0.942857142857143t1.8
rpoE (g_51509)tnorR (g_53435)t0.885714285714286t0.885714285714286t1.8
rpoE (g_51509)trpoS (g_53444)t0.942857142857143t0.942857142857143t1.8
rpoE (g_51509)trpoD (g_54509)t0.942857142857143t0.942857142857143t1.8
norR (g_53435)trpoS (g_53444)t0.942857142857143t0.942857142857143t1
norR (g_53435)trpoD (g_54509)t0.942857142857143t0.942857142857143t1
rpoS (g_53444)trpoD (g_54509)t1t1t1
