lfcSE_BvsD,stat_BvsD,pvalue_BvsD,padj_BvsD,B_DEGs_label.x,Y_DEGs_label.x,Cluster,gene_id
0.605483817,-6.689603703,2.24E-11,2.11E-10,1,0,6,g_37293
0.496834007,-4.714014249,2.43E-06,9.72E-06,1,0,4,g_37296
0.481537278,4.782319081,1.73E-06,7.15E-06,1,0,1,g_37297
0.473078398,-2.232547106,0.025578826,0.039727298,1,0,4,g_37298
0.724602525,-6.109391536,1.00E-09,7.42E-09,1,0,6,g_37299
0.638931978,10.45497435,1.39E-25,4.82E-24,1,0,2,g_37307
0.834794541,-2.414922365,0.015738564,0.025768998,1,0,4,g_37310
0.517048001,-2.873255106,0.004062659,0.007693657,1,0,4,g_37311
0.585505276,-9.296594415,1.45E-20,3.53E-19,1,0,6,g_37314
0.665274396,2.591077991,0.009567581,0.016502851,1,0,1,g_37320
0.488303144,6.12899356,8.84E-10,6.61E-09,1,0,2,g_37321
0.510620025,-6.250944977,4.08E-10,3.21E-09,1,0,6,g_37323
0.552934209,-2.678174358,0.007402467,0.013121399,1,0,4,g_37324
0.544622014,-5.829506613,5.56E-09,3.64E-08,1,0,6,g_37327
0.83016169,-4.52926732,5.92E-06,2.17E-05,1,0,4,g_37328
0.543495547,-3.525707066,0.000422354,0.00101854,1,0,4,g_37329
0.770605791,-4.632230478,3.62E-06,1.39E-05,1,0,4,g_37330
0.626241742,3.545555648,0.000391786,0.000952139,1,0,1,g_37333
0.457689866,2.952807164,0.003148986,0.006134248,1,0,1,g_37335
0.650684471,4.440459276,8.98E-06,3.18E-05,1,0,1,g_37336
0.429541131,-7.695747055,1.41E-14,1.95E-13,1,0,6,g_37337
0.613635333,-3.281510497,0.001032527,0.002261544,1,0,4,g_37340
0.495975491,-4.741927522,2.12E-06,8.58E-06,1,0,4,g_37343
0.732968284,-2.775488287,0.005511888,0.010100462,1,0,4,g_37344
0.41033076,10.00865578,1.40E-23,4.23E-22,1,0,2,g_37345
0.466419689,-3.464696261,0.000530831,0.001247488,1,0,4,g_37346
0.792614523,-3.276107774,0.001052484,0.002300873,1,0,4,g_37347
0.638635096,-2.183779685,0.028978441,0.044366832,1,0,4,g_37350
0.471799856,-7.205594727,5.78E-13,6.69E-12,1,0,6,g_37351
0.580736769,4.742951446,2.11E-06,8.54E-06,1,0,1,g_37353
0.379738399,3.278176649,0.0010448,0.002286339,1,0,1,g_37354
0.628406962,-7.02797396,2.10E-12,2.26E-11,1,0,6,g_37355
0.54550291,10.15235544,3.23E-24,1.02E-22,1,0,2,g_37356
0.594158608,3.795040954,0.000147619,0.000396349,1,0,1,g_37361
0.393511926,-10.9138526,9.90E-28,3.98E-26,1,0,6,g_37362
0.451576453,-3.739553452,0.000184347,0.000483737,1,0,4,g_37364
0.503046659,-4.219085414,2.45E-05,7.88E-05,1,0,4,g_37365
0.642635306,-4.578661737,4.68E-06,1.76E-05,1,0,4,g_37368
0.621201766,-3.455825428,0.000548611,0.001285222,1,0,4,g_37369
0.884549325,-3.716776294,0.000201781,0.000524471,1,0,4,g_37370
0.639821528,-4.57036222,4.87E-06,1.82E-05,1,0,4,g_37372
0.551237665,4.83525879,1.33E-06,5.62E-06,1,0,1,g_37373
0.532906693,5.042971389,4.58E-07,2.13E-06,1,0,2,g_37375
0.535006982,-3.115822337,0.001834328,0.003786456,1,0,4,g_37379
0.44919155,-3.030402492,0.00244228,0.004895293,1,0,4,g_37380
0.574188193,-3.636403039,0.000276472,0.000697358,1,0,4,g_37381
0.660014211,2.827348145,0.004693527,0.008742779,1,0,1,g_37384
0.555850911,-5.103008522,3.34E-07,1.59E-06,1,0,4,g_37386
0.491221668,-3.666711612,0.00024569,0.000626762,1,0,4,g_37387
0.474004434,-3.724679024,0.000195564,0.000509656,1,0,4,g_37388
0.701396065,-10.41908248,2.03E-25,6.94E-24,1,0,6,g_37391
0.59141222,8.298412761,1.06E-16,1.84E-15,1,0,2,g_37392
0.632874805,-3.373592533,0.000741941,0.00168416,1,0,4,g_37397
0.353578723,-13.49707638,1.63E-41,1.53E-39,1,0,3,g_37398
0.649819269,-3.431452219,0.000600359,0.00139221,1,0,4,g_37401
0.481597475,-2.736725518,0.006205405,0.011204648,1,0,4,g_37403
0.773962426,-6.965446835,3.27E-12,3.44E-11,1,0,6,g_37409
0.416200522,3.594396774,0.000325144,0.000805692,1,0,1,g_37411
0.442299302,4.487450982,7.21E-06,2.60E-05,1,0,1,g_37412
0.588304218,4.913407091,8.95E-07,3.92E-06,1,0,2,g_37413
0.486476087,3.153258179,0.001614589,0.003379383,1,0,1,g_37414
0.555766272,-2.441782147,0.014614963,0.024111718,1,0,4,g_37415
0.622664043,3.410189201,0.000649178,0.00149331,1,0,1,g_37416
0.401550995,5.578670603,2.42E-08,1.43E-07,1,0,2,g_37418
0.684826737,-3.616809128,0.000298257,0.000745967,1,0,4,g_37419
0.62100074,4.695316164,2.66E-06,1.05E-05,1,0,1,g_37421
0.674827556,-2.218989928,0.02648741,0.04096093,1,0,4,g_37422
0.528886063,-3.680054014,0.000233185,0.000597734,1,0,4,g_37423
0.648077196,7.189220601,6.52E-13,7.50E-12,1,0,2,g_37425
0.395731736,-16.39660751,2.02E-60,7.70E-58,1,0,3,g_37427
0.486349053,4.840899594,1.29E-06,5.47E-06,1,0,1,g_37428
0.600848288,7.929598293,2.20E-15,3.33E-14,1,0,2,g_37431
0.359666486,-15.11479225,1.29E-51,2.50E-49,1,0,3,g_37432
0.601946774,-2.304163249,0.021213481,0.03362101,1,0,4,g_37437
0.812354728,-3.96955836,7.20E-05,0.000208223,1,0,4,g_37438
0.597779217,8.073243042,6.85E-16,1.10E-14,1,0,2,g_37440
0.550666651,-2.210578688,0.027065026,0.041753556,1,0,4,g_37442
0.654565869,-4.461215489,8.15E-06,2.91E-05,1,0,4,g_37447
0.713948362,-11.90336805,1.14E-32,6.06E-31,1,0,3,g_37448
0.591919358,4.496051164,6.92E-06,2.51E-05,1,0,1,g_37449
0.751835971,-2.362784437,0.018138217,0.029254594,1,0,4,g_37450
0.578789887,-2.74852936,0.005986327,0.010860242,1,0,4,g_37452
0.661489773,-3.729486292,0.000191871,0.000501119,1,0,4,g_37453
0.73529553,-3.904471179,9.44E-05,0.000265559,1,0,4,g_37454
0.708897822,-3.358721991,0.000783038,0.001767994,1,0,4,g_37456
0.930748764,-6.658990823,2.76E-11,2.57E-10,1,0,6,g_37458
0.51419892,-2.149737743,0.031575965,0.047882781,1,0,4,g_37460
0.596232115,-3.776287522,0.000159183,0.000423974,1,0,4,g_37461
0.550267234,3.521145618,0.000429687,0.001034275,1,0,1,g_37463
0.477265205,-2.212219478,0.026951504,0.041594702,1,0,4,g_37464
0.394091434,-5.156603317,2.51E-07,1.23E-06,1,0,4,g_37465
0.338792213,-14.59199638,3.16E-48,4.65E-46,1,0,3,g_37467
0.398750329,-2.716116144,0.006605274,0.011852212,1,0,4,g_37468
0.568414251,-4.702826766,2.57E-06,1.02E-05,1,0,4,g_37469
0.599064057,-3.395785941,0.000684319,0.00156605,1,0,4,g_37470
0.676938177,9.123783839,7.25E-20,1.66E-18,1,0,2,g_37471
0.499350977,-2.341647241,0.019198851,0.030739662,1,0,4,g_37474
0.530424826,-4.103826747,4.06E-05,0.000124361,1,0,4,g_37476
0.605543647,4.914372464,8.91E-07,3.91E-06,1,0,2,g_37477
0.283599832,-16.19226833,5.72E-59,1.98E-56,1,0,3,g_37479
0.522021135,-3.948222245,7.87E-05,0.000225674,1,0,4,g_37480
0.750981494,-3.293345228,0.000990028,0.002179444,1,0,4,g_37481
0.484656472,-2.171992537,0.029856226,0.04557042,1,0,4,g_37484
0.40619729,3.661605739,0.000250639,0.000638062,1,0,1,g_37485
0.519136635,4.369344587,1.25E-05,4.27E-05,1,0,1,g_37486
0.55550556,6.028961094,1.65E-09,1.18E-08,1,0,2,g_37489
0.633607124,3.908266253,9.30E-05,0.000261756,1,0,1,g_37491
0.478395541,4.985993776,6.16E-07,2.79E-06,1,0,2,g_37495
0.97289461,-2.138662665,0.032462998,0.049070155,1,0,4,g_37498
0.404671922,-6.170240371,6.82E-10,5.18E-09,1,0,6,g_37500
0.425627771,2.874269232,0.004049636,0.007670763,1,0,1,g_37502
0.546746136,-2.265262141,0.023496598,0.036853205,1,0,4,g_37507
0.382235895,-14.75574682,2.83E-49,4.61E-47,1,0,3,g_37508
0.579193146,3.75656922,0.000172259,0.000455284,1,0,1,g_37509
0.671919711,3.139668301,0.001691392,0.003523032,1,0,1,g_37511
0.3791996,-4.464758054,8.02E-06,2.86E-05,1,0,4,g_37513
0.673942573,4.830036029,1.37E-06,5.76E-06,1,0,2,g_37514
0.437853914,-2.449987883,0.014286102,0.023626373,1,0,4,g_37519
0.629776038,9.158993,5.24E-20,1.22E-18,1,0,2,g_37520
0.649653778,-2.76818072,0.005637019,0.010305808,1,0,4,g_37521
0.628358931,9.215930951,3.09E-20,7.30E-19,1,0,2,g_37522
0.636462631,-4.1384402,3.50E-05,0.000108637,1,0,4,g_37524
0.443056438,-2.777445245,0.005478807,0.010043175,1,0,4,g_37526
0.668443235,7.793997539,6.49E-15,9.36E-14,1,0,2,g_37527
0.423744436,-3.35050067,0.000806656,0.001814196,1,0,4,g_37528
0.927504119,-3.630218918,0.000283181,0.000712393,1,0,4,g_37529
0.684065065,-3.423922833,0.000617241,0.001426609,1,0,4,g_37531
0.882081169,-3.521298858,0.000429438,0.001033818,1,0,4,g_37532
0.54018283,-3.794670996,0.000147839,0.000396863,1,0,4,g_37533
0.542666174,-5.563966178,2.64E-08,1.54E-07,1,0,6,g_37536
0.479317703,7.099717094,1.25E-12,1.39E-11,1,0,2,g_37538
0.448740132,2.492974581,0.012667791,0.021226705,1,0,1,g_37539
0.491827986,-2.37011864,0.017782378,0.028755389,1,0,4,g_37540
0.650272268,4.686480825,2.78E-06,1.10E-05,1,0,1,g_37545
0.6619167,-4.580817757,4.63E-06,1.74E-05,1,0,4,g_37547
0.455281009,3.071845357,0.002127399,0.004325254,1,0,1,g_37549
0.382725844,-13.85731321,1.15E-43,1.25E-41,1,0,3,g_37551
0.582496713,-3.387070078,0.000706433,0.00161218,1,0,4,g_37553
0.676011765,-2.388235453,0.016929492,0.02751728,1,0,4,g_37554
0.729538081,-2.253289095,0.024240927,0.037881768,1,0,4,g_37555
0.701199269,-2.221337672,0.026328099,0.040749964,1,0,4,g_37557
