"Gene_ID","Kmeans_Cluster"
"g_01323","22"
"g_01331","8"
"g_01351","8"
"g_01363","8"
"g_01367","15"
"g_01380","6"
"g_01394","13"
"g_01395","6"
"g_01404","12"
"g_01429","1"
"g_01445","19"
"g_01446","11"
"g_01455","16"
"g_01477","12"
"g_01478","8"
"g_01492","15"
"g_01498","12"
"g_01510","6"
"g_01523","8"
"g_01530","12"
"g_01531","5"
"g_01547","8"
"g_01555","1"
"g_01562","21"
"g_01572","11"
"g_01581","15"
"g_01634","1"
"g_01668","21"
"g_01671","9"
"g_01676","6"
"g_01693","22"
"g_01713","15"
"g_01719","1"
"g_01773","16"
"g_01813","15"
"g_01832","12"
"g_01837","11"
"g_01838","5"
"g_01859","16"
"g_01860","15"
"g_01863","12"
"g_01883","15"
"g_01889","4"
"g_01899","5"
"g_01903","12"
"g_01932","8"
"g_01964","22"
"g_02003","8"
"g_02010","4"
"g_02044","5"
"g_02050","8"
"g_02054","6"
"g_02061","8"
"g_02065","15"
"g_02071","15"
"g_02072","15"
"g_02079","22"
"g_02082","9"
"g_02084","12"
"g_02090","8"
"g_02100","22"
"g_02113","22"
"g_02144","6"
"g_02168","15"
"g_02184","6"
"g_02186","6"
"g_02229","6"
"g_02244","12"
"g_02254","15"
"g_02256","8"
"g_02287","17"
"g_02291","22"
"g_02296","7"
"g_02330","15"
"g_02332","1"
"g_02336","1"
"g_02346","8"
"g_02354","18"
"g_02376","6"
"g_02400","23"
"g_02406","8"
"g_02428","19"
"g_02445","8"
"g_02446","22"
"g_02460","12"
"g_02462","8"
"g_02490","5"
"g_02493","6"
"g_02531","8"
"g_02556","1"
"g_02560","12"
"g_02624","5"
"g_02640","1"
"g_02641","6"
"g_02650","12"
"g_02680","1"
"g_02720","11"
"g_02723","1"
"g_02739","6"
"g_02740","22"
"g_02741","12"
"g_02745","1"
"g_02773","12"
"g_02810","8"
"g_02811","8"
"g_02816","14"
"g_02840","6"
"g_02857","6"
"g_02862","6"
"g_02893","15"
"g_02895","12"
"g_02897","8"
"g_02933","14"
"g_02942","22"
"g_02982","12"
"g_03006","8"
"g_03026","1"
"g_03037","15"
"g_03067","11"
"g_03080","5"
"g_03085","12"
"g_03086","15"
"g_03088","5"
"g_03098","4"
