"otu","tSNE1","tSNE2","Dark1","Dark2","Dark3","Blue1","Blue2","Blue3","Green1","Green2","Green3","Yellow1","Yellow2","Yellow3","Red1","Red2","Red3","UV1","UV2","UV3"
"OTU17",-20.2469164888366,-4.79728785886964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.24303804868629,0.602059991327962,0.477121254719662
"OTU10",-30.2522792651959,-15.9709585512523,0.477121254719662,0,0.477121254719662,0,0,0,0.301029995663981,0,0.301029995663981,0,0.301029995663981,0,0,0.301029995663981,0,3.07114529045108,2.68484536164441,2.79657433321043
"OTU11",-28.8995066053262,-17.6005383168024,0,0,0,0,0,0,0,0.301029995663981,0,0,0.301029995663981,0,0,0.301029995663981,0,2.73878055848437,2.52891670027765,2.60852603357719
"OTU12",-24.2491029675085,-18.4608393199803,1.69019608002851,1.81954393554187,1.64345267648619,1.30102999566398,1,1.568201724067,1.50514997831991,1.7481880270062,1.81291335664286,1.77815125038364,1.7481880270062,1.78532983501077,1.57978359661681,1.46239799789896,1.53147891704226,2.38916608436453,2.70070371714502,2.36921585741014
"OTU13",-27.417779786211,-22.7918128237422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.71683772329952,1.75587485567249,1.81291335664286
"OTU18",-29.5313498545374,-22.5731681938538,0.301029995663981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42813479402879,1.7160033436348,2.04139268515822
"OTU19",-29.937987338932,-21.4271454498676,0,0,0,0.301029995663981,0,0,0,0,0,0,0,0,0,0,0.301029995663981,2.36361197989214,1.97772360528885,2.12057393120585
"OTU98",4.83635476258869,-28.1425233694378,1.20411998265592,1.25527250510331,1.17609125905568,1.32221929473392,1.07918124604762,1.17609125905568,1.41497334797082,1.46239799789896,1.39794000867204,1.53147891704226,1.53147891704226,1.50514997831991,1.30102999566398,1.38021124171161,1.14612803567824,0.698970004336019,1.41497334797082,0.903089986991944
"OTU99",-1.46252345269651,19.3986954424332,0,0,0,0,0,0.301029995663981,0,0,0.301029995663981,0.301029995663981,0,0,0.477121254719662,0,0.477121254719662,0.954242509439325,0.778151250383644,0.477121254719662
"OTU95",5.39102911117747,28.4143804973605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.698970004336019,0,0.477121254719662
"OTU96",-14.3410864895766,-26.2934231515132,2.21218760440396,2.24551266781415,2.1846914308176,2.12710479836481,2.02530586526477,2.18752072083646,2.22010808804005,2.27875360095283,2.11058971029925,2.19589965240923,2.0899051114394,2.24303804868629,2.26951294421792,2.26245108973043,2.25767857486918,0,0.954242509439325,0.477121254719662
"OTU97",-14.0309462453806,-25.6780922132828,2,1.92941892571429,2.15228834438306,2.06445798922692,2.01703333929878,2.01703333929878,2.13672056715641,2.08278537031645,2.07554696139253,2.17318626841227,2.11727129565576,2.17897694729317,2.10037054511756,2.22788670461367,2.10720996964787,0.301029995663981,1.11394335230684,0
"OTU90",24.7087767407094,8.09232593506285,0.301029995663981,0,0,0.301029995663981,0,0.301029995663981,0.301029995663981,0,0,0,0,0,0,0.602059991327962,0.301029995663981,0,0,0
"OTU91",23.1106963630002,3.07980929491194,0,0.301029995663981,0,0,0,0,0,0,0,0.602059991327962,0,0,0,0,0,0,0.477121254719662,0.477121254719662
"OTU92",20.4878972522887,10.493110882726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.477121254719662,0,0.301029995663981
"OTU93",23.7808130329773,11.0601283367282,0,0,0,0.301029995663981,0.477121254719662,0,0,0,0,0,0,0,0,0,0,0.301029995663981,0,0
"OTU61",-2.16523018438113,24.1673618732094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07918124604762,0,0
"OTU60",4.15856858453678,26.7039853797283,0,0,0,0,0,0.301029995663981,0,0,0,0.301029995663981,0,0.301029995663981,0.301029995663981,0,0,0.778151250383644,0.301029995663981,0.602059991327962
"OTU63",0.877234870828834,23.5869612599479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.903089986991944,0.477121254719662,0.602059991327962
"OTU62",22.5641859821773,-14.7808361064819,0.301029995663981,0,0.301029995663981,0.778151250383644,0.301029995663981,0.477121254719662,1.17609125905568,0.845098040014257,0.845098040014257,0.778151250383644,0.477121254719662,1,0.903089986991944,0.778151250383644,0.698970004336019,0.301029995663981,0.954242509439325,0.301029995663981
"OTU65",12.783857600776,-21.5726344043834,0.698970004336019,1.27875360095283,1.04139268515823,0.903089986991944,0.477121254719662,0.602059991327962,1.04139268515823,1,0.778151250383644,1,1.04139268515823,0.845098040014257,1.20411998265592,0.903089986991944,0.954242509439325,0.301029995663981,0.698970004336019,0.477121254719662
"OTU64",-0.250870441592307,23.5562124206353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.477121254719662,0.477121254719662
"OTU67",5.77592616087032,22.0274470545726,0.301029995663981,0,0,0.698970004336019,0,0.301029995663981,0.477121254719662,0.477121254719662,0.477121254719662,0.602059991327962,0.301029995663981,0.301029995663981,0,0,0.301029995663981,0.903089986991944,0.698970004336019,0.903089986991944
"OTU66",4.02786434648036,22.9579954172318,0,0.301029995663981,0,0,0,0.301029995663981,0.602059991327962,0,0.301029995663981,0,0,0.477121254719662,0,0,0,0.903089986991944,0.477121254719662,0.845098040014257
"OTU69",18.916065899701,-13.2204373836687,0.903089986991944,0.778151250383644,0.602059991327962,0.602059991327962,0.602059991327962,0.698970004336019,0.602059991327962,0.477121254719662,0.301029995663981,0.698970004336019,0.602059991327962,0.845098040014257,0.301029995663981,0.301029995663981,0.698970004336019,0.477121254719662,0.602059991327962,0.477121254719662
"OTU72",-5.56667896637815,39.9523187314228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27875360095283,0.602059991327962,1
"OTU73",-2.22384284579836,27.1217319218712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.903089986991944,0,0
"OTU70",11.4783924380664,19.3346367170884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.845098040014257,0.778151250383644,1
"OTU71",-1.62718961407515,28.0799789562176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.845098040014257,0,0
"OTU76",12.4175143506501,16.3506641948267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.477121254719662,0.778151250383644,0.845098040014257
"OTU77",6.29978025421864,29.1103223933078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.698970004336019,0,0.301029995663981
"OTU74",12.9919885479446,15.5290624746268,0,0.301029995663981,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301029995663981,0.602059991327962,0.845098040014257
"OTU75",-2.36752311558028,15.5054651597277,0,0,0.301029995663981,0,0,0,0,0.301029995663981,0.301029995663981,0,0.301029995663981,0,0,0,0,0.778151250383644,0.778151250383644,0.301029995663981
"OTU78",-2.6837536237131,16.1371573845014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.778151250383644,0.778151250383644,0.301029995663981
"OTU79",14.3369759712696,13.1466793237794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301029995663981,0.602059991327962,0.602059991327962
"OTU8",-32.9095745294994,-13.402101618397,2.48429983934679,2.42160392686983,2.45484486000851,2.34242268082221,2.40993312333129,2.38021124171161,2.43136376415899,2.66651798055488,2.66838591669,2.45636603312904,2.53655844257153,2.54032947479087,2.30749603791321,2.4345689040342,2.3384564936046,3.44731310882357,3.42975228000241,3.33142729652074
"OTU9",-31.2389613053428,-14.9405405783328,0.698970004336019,0.954242509439325,0.698970004336019,0.698970004336019,0.778151250383644,0.301029995663981,0.698970004336019,1,0.903089986991944,0.477121254719662,1,1.14612803567824,1,1.07918124604762,1,3.29358351349612,2.75281643118827,2.99563519459755
"OTU6",-35.1336761721761,-11.2711147196804,3.0484418035504,2.91328390176042,2.95133751879592,3.182129214053,3.08134730780413,2.95230800966213,3.23603314711764,3.26221370547642,3.41246054742996,3.29819786710982,3.21112054125805,3.17084820364331,2.987219229908,3.22167499707077,2.97497199429807,3.57460994134019,3.75898754686762,3.36940141369662
"OTU7",-37.1088994772323,-12.7967505764412,3.39392600658584,3.38183679999834,3.3727279408856,2.96801571399364,2.52374646681156,2.8750612633917,3.36436335461573,3.50447086249442,3.48172919696002,3.51969676715985,3.58240429801903,3.53186194909581,3.44357587975026,3.42291798076766,3.37857957611577,2.90955602924118,2.95230800966213,2.72916478969277
"OTU4",-32.9931862986519,-10.5395820090998,2.95520653754194,2.9576072870601,2.9670797341445,2.97081161087252,2.91434315711944,2.81756536955978,2.97772360528885,2.96189547366785,3.02242837118549,2.87621784059164,2.73639650227664,2.81291335664286,2.89097959698969,2.86033800657099,2.8318697742805,3.99651167215418,3.52762990087134,3.71146978187433
"OTU5",-35.1821455620827,-12.4251580888342,2.84509804001426,3.004751155591,3.03901732199741,2.77378644498119,2.75127910398334,2.8234742291703,2.97543180850926,3.03019478535675,3.08026562733984,2.9532763366673,2.98855895687862,3.06855689507236,3.01661554755718,3.0386201619497,2.90145832139611,3.09621458534641,3.67237497874608,3.0640834359636
"OTU2",-36.9395062613637,-8.20252542617744,3.74811046749498,3.62910365017714,3.66086547800387,3.70475090429067,3.65638571905869,3.52698506856,3.72082058177034,3.77298145034496,3.8208579894397,3.82665779187587,3.86296575897776,3.81277970700896,3.67970038087196,3.65272969606925,3.64894518216567,3.92339946615872,4.06833431311725,4.2978698913999
"OTU3",-35.9919613357246,-9.56153613018628,3.41094585868777,3.40226138245468,3.33965015761368,3.72843495097425,3.77254173264094,3.50037371435337,3.51877706892677,3.59933713299249,3.63235604623907,3.35564305022087,3.4491697321652,3.35926616460675,3.32428245529769,3.52296559549199,3.4295908022233,3.66857226918456,3.79434860389608,3.60519726738838
"OTU1",-37.6921683983637,-6.87881184660477,4.48096937675396,4.50214022700242,4.50005799857912,4.46929170584686,4.4859200778637,4.53910120179454,4.46295174457805,4.42166972407955,4.38843869704369,4.43814663624675,4.41927818318715,4.44466923093852,4.49451635537372,4.47189285137058,4.50173005084622,3.7346398389877,3.7499680835094,3.72230478687433
"OTU49",-5.70507995271535,36.8041958700998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11394335230684,0.845098040014257,0.698970004336019
"OTU48",11.4224335761317,-22.1233393151667,1.11394335230684,0.954242509439325,1,0.778151250383644,0.477121254719662,0.301029995663981,1.07918124604762,0.903089986991944,0.903089986991944,1,0.903089986991944,0.903089986991944,1.04139268515823,1.04139268515823,0.778151250383644,1,1.25527250510331,0.301029995663981
"OTU47",6.21054799974604,-29.0585338573469,1.23044892137827,1.38021124171161,1.14612803567824,1.17609125905568,1.25527250510331,0.778151250383644,1.07918124604762,1.07918124604762,1.30102999566398,1.51851393987789,1.49136169383427,1.41497334797082,1.36172783601759,1.34242268082221,1.32221929473392,0.477121254719662,0.301029995663981,0.301029995663981
"OTU46",7.00502551871257,-28.7090099551517,0.954242509439325,1.32221929473392,1,0.954242509439325,0.903089986991944,0.698970004336019,1.17609125905568,1.23044892137827,1.17609125905568,1.34242268082221,1.39794000867204,1.43136376415899,1.17609125905568,1.41497334797082,1.20411998265592,0.903089986991944,0.954242509439325,0.903089986991944
"OTU45",9.97671038069299,-21.1434629145072,1.07918124604762,1.34242268082221,1,0.698970004336019,1.04139268515823,0.903089986991944,1.04139268515823,0.903089986991944,0.954242509439325,1.07918124604762,0.845098040014257,0.903089986991944,0.954242509439325,1,1.14612803567824,0.698970004336019,1.30102999566398,1.04139268515823
"OTU44",-5.70497159835912,38.3991504499894,0.301029995663981,0,0,0,0.301029995663981,0,0.301029995663981,0,0.301029995663981,0.301029995663981,0,0,0.301029995663981,0,0,1.23044892137827,0.845098040014257,0.778151250383644
"OTU43",12.2607823506961,22.8215554798224,0,0,0,0,0,0,0,0,0.301029995663981,0.301029995663981,0,0,0,0,0,1.07918124604762,1,1.25527250510331
"OTU42",-14.0618721975679,-9.88033050002123,0.954242509439325,0.845098040014257,0.845098040014257,1.17609125905568,0.698970004336019,0.602059991327962,0.903089986991944,0.903089986991944,1.11394335230684,0.954242509439325,0.845098040014257,0.845098040014257,0.903089986991944,0.301029995663981,0.903089986991944,1.66275783168157,1.66275783168157,1.70757017609794
"OTU41",-4.31614284300566,40.0079623383782,0,0,0,0,0,0,0,0,0,0,0.301029995663981,0,0,0,0,1.34242268082221,0.477121254719662,0.602059991327962
"OTU40",7.68148082212919,-22.7429095699837,1,0.954242509439325,1.11394335230684,1.07918124604762,1.25527250510331,1,1.43136376415899,1.14612803567824,1.41497334797082,1.14612803567824,1,1.14612803567824,1.11394335230684,1.07918124604762,0.778151250383644,1.23044892137827,1.50514997831991,1.14612803567824
"OTU116",29.3088719838963,3.80125395129013,0,0.301029995663981,0.698970004336019,0,0,0,0,0,0,0.301029995663981,0,0,0.477121254719662,0,0.301029995663981,0,0.301029995663981,0
