"gene_id","tSNE1","tSNE2","Blue1","Blue2","Blue3","Dark1","Dark2","Dark3"
"g_29625",-31.3743649628544,41.7916556804916,2.4160036744394,2.08201472952608,2.13933095683306,0.467248239361041,0.187869144656271,0.402436097086178
"g_29626",27.0393875059245,0.966895455708211,0.927636145893311,0.764204237285603,0.979609554019833,0.0546011821468682,0.134597805888113,0.0411249193030586
"g_29627",-5.29626628506543,-18.0193103690411,0.520329045781629,0.691741365833178,0.707705041911885,0.0919007455332964,0.259952059922254,0.350524017821399
"g_29628",-15.4966929124817,-34.2414678708651,0.370375766439177,0.591197102309263,0.794228577548815,0,0,0
"g_29633",20.4632409358134,-7.72305586064202,0.83912273591448,0.782328265343854,0.733490415266248,0.159885579169618,0.150804623924818,0.0356586331020163
"g_29634",-1.71260837736376,-33.3309069067105,0.444316223243174,0.666789236278759,0.648480132908029,0.0532486689285615,0,0
"g_29636",21.3280007821344,-25.163276874183,0.872783186118092,0.475160919468793,0.667932280141187,0.0654004332307413,0.0595316113865599,0
"g_29637",-32.9572318524759,-33.8810735303706,1.67877398216526,1.24023596906088,1.44968475959713,1.62428633560196,1.84551471313592,1.93321587530133
"g_29639",-51.9054932686165,0.29309824899215,1.6217758797875,1.72562392304632,1.79184470853198,2.82956171217745,2.97504006324328,2.48712875298926
"g_29641",-27.100229771427,31.8003806804296,1.71536999805955,1.73616191194046,1.75907162891165,0.0901327915372936,0.0943330967968457,0.285437130073789
"g_29643",18.4005702399228,8.6848363437876,0.859501979233653,1.11393142574846,1.11355063940696,0,0.0840784306201407,0.123888211594189
"g_29644",10.1099708409923,37.690182215387,0.250898194835458,0.161320376987458,0.192813242393214,0.250165938933309,0.0453225875301912,0.806950908468652
"g_29645",-48.54224117476,-9.16239707498318,0.77024711154354,0.797429037870257,0.79685764221408,2.3228621783799,2.18157079678382,2.56562555291105
"g_29646",-35.0481548441391,41.2275388467102,2.59575474187817,2.25184274323122,2.32757499782778,0.845900990244614,0.533190110482765,0.652971558271542
"g_29647",-14.1508910610637,-16.003489411685,0.919228342738116,0.73407243736303,0.717630066806026,0.845155983440988,0.899464223913877,1.01078173921961
"g_29651",-18.5613796736405,-17.6246966699622,0.780149827996991,0.632382473707254,0.725595347504023,0.998512385117548,1.23783553223166,0.7646703935928
"g_29653",-51.6833701172342,-5.59805602198714,1.19965339126616,1.17351705148619,1.19737374910097,2.41023948013815,2.35547164241834,2.41303004047948
"g_29656",29.5117967405078,18.3497051877468,1.28789845041989,1.1363622373744,1.15769138092823,0.0455553228607237,0.0211425581962602,0.142023854085516
"g_29658",-7.8800255388883,28.6767884555061,0.378634063849602,0.191009508921388,0.242069609783798,0.743162739281051,0.530835429253833,0.370599680802624
"g_29659",-15.8958267865636,-33.5600604537453,0.267502839724425,0.575020332041116,0.816983011457503,0,0.0517099916394049,0
"g_29660",-28.2669546694164,-30.7552126625511,1.30602363980592,1.17781588792096,1.08810070555366,1.36803704257559,1.39270279070092,1.38761540508627
"g_29662",15.4120447862598,-19.4714176480576,0.776302655833919,0.668837217908234,0.756830090350503,0,0.049180795833417,0.112345553737285
"g_29671",-25.0396616196895,37.6343948485705,2.19746145993338,1.46946689765825,1.34650291709934,0.108919687997187,0.278980060758347,0.464574788362434
"g_29672",30.177126806887,20.4360977665599,1.32172008629433,1.16432679733376,1.1120393467764,0.0552850397943973,0,0.0318255905665567
"g_29673",28.7294138301488,-10.5996188535089,0.995967280943687,0.644249369182347,0.784044987675276,0.0215246103781138,0,0
"g_29674",1.29135268254565,-27.1389470121163,0.564661212433773,0.749553286021845,0.824555293064848,0,0,0
"g_29675",-15.6626206642864,-33.4563526757387,0.273523963764847,0.620731785674703,0.767959420766544,0,0,0.0166803316034298
"g_29676",20.9910619749062,-18.2095031808377,0.863165831305422,0.669121357544469,0.667897386918681,0,0,0.0122444088848503
