gene_id,tSNE1,tSNE2,Blue1,Blue2,Blue3,Dark1,Dark2,Dark3,Yellow1,Yellow2,Yellow3
g_27242,37.77512216,-12.74296223,0.475319834,0.377011946,0.270921414,0.809162204,0.870586072,0.593990006,0.623805555,0.634015927,0.576599201
g_27244,2.108642986,19.84034503,0.776599934,1.143167339,1.145954221,0.312066864,0.382918394,0.382213602,0.165965374,0.461890475,0.441216441
g_27245,-31.9962051,13.79971618,1.482685382,1.061797064,0.793972443,0.027881038,0.035041301,0.226223697,0.045133961,0.07339535,0.036589775
g_27246,4.14923368,-31.32737099,0.48670174,0.480902076,0.442980565,1.80177816,1.772858894,1.828673782,1.684469445,1.718322204,1.860017325
g_27247,-30.19123905,-23.22896619,0.521123302,0.657976938,0.668404556,0,0,0,0.223174969,0.288454919,0
g_27249,-35.71553845,-24.4447056,0.792183949,0.477103593,0.535371982,0,0.033916481,0,0.2084513,0.374776932,0
g_27250,8.697584676,-22.40366228,0.205625458,0.226157137,0.312181801,1.474649366,1.453538551,1.551068139,1.331812747,1.342586813,1.569563717
g_27251,-22.68977611,-4.9180594,1.030097463,0.67678823,0.681359476,0,0,0,0.014959232,0,0
g_27252,45.0509246,-4.339844149,0.572003772,0.429937098,0.404699133,0.512227453,0.59302896,0.626788394,0.471854902,0.329915673,0.510638293
g_27254,-5.353372943,-7.568659473,0.380295378,0.707108216,0.846633346,0,0,0.064092054,0.089747607,0.037224843,0
g_27256,2.859727832,-29.77354894,0.28273424,0.386744848,0.332673319,1.766203093,1.604532911,1.787029346,1.754083718,1.702822913,1.965556689
g_27259,-12.24263612,6.844397886,0.703354927,1.034342763,1.016114043,0.019983597,0.048475986,0.08485428,0.00716164,0.05276587,0.061984089
g_27260,-30.00980882,24.99704321,1.925903598,1.21398235,1.115980785,0,0.033720422,0.024483615,0.024188374,0,0.064346406
g_27261,-44.4667591,-5.924583288,1.052159766,0.850418799,0.938320244,0.068711893,0,0,0.485809554,0.569507572,0.057888138
g_27268,-46.40596536,12.58578792,1.356936862,1.195979865,1.262534072,0.012087314,0.034214818,0.100560421,0.809887567,0.914963686,0.349064311
g_27269,-30.33150663,-1.512489782,1.274124052,0.778622927,0.591332117,0.111755017,0.055363804,0.148617768,0.007224005,0.077696318,0.031939796
g_27270,-41.55683447,-8.882159764,0.948464657,0.867558757,0.878079578,0.024279555,0,0,0.34105289,0.499935906,0.075976299
g_27271,9.671817428,-38.42348457,0.840598476,0.848954156,1.079006154,1.679761793,2.042605562,2.238320277,1.820749415,1.553175545,1.825685085
