"id","tSNE1","tSNE2","Dark1","Dark2","Dark3","Yellow1","Yellow2","Yellow3","degs","X.","Topology","Signalp","tmhmm"
"g_45843",-12.7169538636917,5.42788941727437,0.0537485844774677,0.0922327541532003,0.0672978058485405,0.814654389707816,0.584434130919067,0.267215390410114,"Yellow_vs_Dark","N","Topology=i",0,1
"g_45844",36.9747626116177,39.182876126478,0.453748903852182,0.380795336742656,0.785581012398776,0.318021365054634,0.35714325290509,0.178923735769117,"Yellow_vs_Dark","N","Topology=o",0,0
"g_45851",-40.5934160363454,-27.523526750153,0.65652116945334,0.369141241435799,0.41482081701065,0.884758727654092,0.840604744655587,1.33717369118356,"Yellow_vs_Dark","N","Topology=o",0,0
"g_45860",-7.18642552020674,18.5075097389894,0.0441515440270546,0,0,0.939887348350077,0.988185633170616,0.361463024489169,"Yellow_vs_Dark","N","Topology=o",0,0
"g_45861",-50.8565677330118,-16.4750522025128,0.404675358346482,0.244325125629824,0.302886971782894,0.513572484109562,0.814683536412364,1.15514955450878,"Yellow_vs_Dark","N","Topology=i7-29o33-55i62-84o94-116i153-175o202-224i",0,1
"g_45874",-25.7388296652887,-50.6950901167153,1.13138413333356,0.819836788150473,1.08782541273447,1.43278351413277,1.48000856796326,2.01623598643036,"Yellow_vs_Dark","N","Topology=o",0,0
"g_45888",12.4418642873709,13.0459874272179,0.294126594155064,0.245841472032342,0.363179161864997,1.307177367094,1.42881545449359,0.545583690051319,"Yellow_vs_Dark","N","Topology=o",0,0
"g_45891",-27.5207311381083,7.02101482981547,0.088565916095845,0.189966176649089,0.126824685339286,0.454202848943573,0.544214935125172,0.507754299649794,"Yellow_vs_Dark","N","Topology=o",0,0
"g_45895",-3.00962016805643,13.9825760767237,0.0933579372615034,0,0.16447777184696,0.936969412021815,0.836994032946333,0.20759774833151,"Yellow_vs_Dark","N","Topology=o",0,0
"g_45910",13.3171620520532,9.14916717993686,0.398404802397087,0.328761940466221,0.353898735748212,1.49546299337136,1.6109490537707,0.551784861158054,"Yellow_vs_Dark","N","Topology=i20-37o",0,1
"g_45913",-1.95142788199104,21.3826227890263,0.233206095605397,0.143834187238091,0.162346906138168,1.02941348728214,0.97949870569207,0.116957562072763,"Yellow_vs_Dark","N","Topology=i",0,1
"g_45930",8.11768952103802,-24.0149043627618,0,0,0,0.404687844410866,0.301895116621662,0,"Yellow_vs_Dark","N","Topology=o",0,0
"g_45932",6.53117082918612,14.6591063387731,0.425395302299732,0.455592573943912,0.254640388105808,1.17475374604203,1.06744340051722,0.540794559069363,"Yellow_vs_Dark","N","Topology=o",0,0
"g_45946",27.9790984036799,-21.1431948570682,0.0260034535770654,0.0235730194050211,0,0.234140782426676,0.212075952391678,0,"Yellow_vs_Dark","N","Topology=i13-35o",0,1
"g_45952",22.4118607669394,51.3464497037931,0.20207671387492,0.17646545964179,0.608288604289721,0.18871170407084,0.130186726880832,0.184931503752367,"Yellow_vs_Dark","N","Topology=o",0,0
"g_45955",-2.91738829249851,14.2033163861211,0.0898302509795604,0.0392713139525443,0.172216914744969,1.00120977790292,0.884985573848575,0.244033303049049,"Yellow_vs_Dark","N","Topology=o",0,0
"g_45966",-2.28862373122426,-17.4224856505974,0,0,0.0655890502790534,0.567050846025281,0.372345947269267,0.090612470383604,"Yellow_vs_Dark","N","Topology=o",0,0
"g_45969",-40.6731400405001,-8.98574327786331,0.476785849896707,0.311644532196881,0.426403243612004,0.629118646697362,0.661775593879968,0.894224651802836,"Yellow_vs_Dark","N","Topology=o",0,0
"g_45977",5.72447201437949,-24.1153118603405,0.0492168593798328,0,0,0.427124208574743,0.303178771723979,0.0459247051705491,"Yellow_vs_Dark","N","Topology=o",0,0
"g_45982",55.1247956920356,21.6176783449841,1.21439035621777,0.979390197156799,1.41341732627247,0.875095252843047,0.8575131736024,0.848952741938611,"Yellow_vs_Dark","Y","Topology=o",1,0
"g_45989",-42.08888532189,-21.8439966885733,0.645144212235277,0.200017758282531,0.424032790499291,0.805905671126288,0.714939188719475,1.01457774089821,"Yellow_vs_Dark","N","Topology=o",0,0
"g_46055",10.3080252732333,-20.5049918011212,0,0,0,0.393115221764647,0.263081663982771,0.0196782238136484,"Yellow_vs_Dark","N","Topology=o",0,0
"g_46063",-3.67818303320936,-18.6285331805495,0,0,0,0.527487604236308,0.428841729434265,0.10342876642303,"Yellow_vs_Dark","N","Topology=o",0,0
"g_46067",23.2064304081551,-15.5102463893632,0,0.0185919114718026,0,0.24124431173576,0.162846874877099,0.0474380379723587,"Yellow_vs_Dark","N","Topology=o",0,0
"g_46089",-4.96358876475647,-25.5736193968102,0.0935603570648626,0,0.0679370919609399,0.447916763109666,0.411937903655517,0.0477840371154738,"Yellow_vs_Dark","N","Topology=o",0,0
"g_46107",-45.4785522188559,5.15481340609999,0.266829557395206,0.0917235704332165,0.348381003970721,0.501814578822383,0.507206372275945,0.775449295950329,"Yellow_vs_Dark","N","Topology=o",0,0
"g_46126",12.8878907786694,13.9067678060582,0.237087338409103,0.102802664915591,0.402121353661393,1.34461325565955,1.36491190071412,0.510670454938018,"Yellow_vs_Dark","N","Topology=i13-35o",0,1
"g_46127",-3.37877416775688,22.6429537575072,0.380710574156684,0.0614845222027715,0.0947987349135682,0.865972405739513,1.09812343748305,0.0898814541037756,"Yellow_vs_Dark","Y","Topology=o132-166i",1,1
"g_46128",-47.6226112674787,7.66766607090931,0.0727038124666516,0.0273076035542042,0.219212675951751,0.599673949314138,0.523994489949265,0.788718670970467,"Yellow_vs_Dark","N","Topology=o",0,0
"g_46185",-24.5168249056173,12.6392861217415,0.146880264350809,0.175903603302937,0.233489046844263,0.390198830854963,0.221708102291085,0.413885749964383,"Yellow_vs_Dark","N","Topology=o",0,0
"g_46203",-1.07254914185824,-23.0301383326445,0.0718352629268686,0,0.0737359416650616,0.532194274786773,0.386588668862682,0,"Yellow_vs_Dark","Y","Topology=o",1,0
"g_46211",-28.7491446803238,4.4054880349347,0.236547337809895,0.21103666571303,0.141052298348174,0.528425721482671,0.391141965608798,0.449383661746036,"Yellow_vs_Dark","N","Topology=o",0,0
"g_46224",58.9158900702417,3.58925075550695,1.45114529373924,1.45193911767142,1.28245525012414,1.29461123866943,0.932568274325195,1.0074277839113,"Yellow_vs_Dark","N","Topology=o",0,0
"g_46227",-39.6583090880899,19.6006660040887,0.201638241040162,0.0954427487918286,0.0919084777208619,0.371313215536732,0.305267727455362,0.899936772764461,"Yellow_vs_Dark","N","Topology=o",0,0
"g_46243",-7.45380299521245,9.6890717354947,0.154492444422011,0,0.112498760646742,0.715455954801822,0.847270460264606,0.0981253776894381,"Yellow_vs_Dark","N","Topology=i",0,1
"g_46258",-7.65992822621966,-23.1908622146915,0.133074348096528,0,0,0.483389145027235,0.535750332703969,0.0208135752672998,"Yellow_vs_Dark","N","Topology=i34-51o",0,1
"g_46274",-47.0211069464763,-24.3030284040775,0.422943401339649,0.341902005075818,0.369285450308602,0.635198043919415,0.776380791811687,1.2644361134487,"Yellow_vs_Dark","N","Topology=i",0,1
"g_46290",-27.1421371353169,-45.0953609385586,1.1853682039214,0.502958191317885,0.93499871264881,1.30646894805069,1.41469223507311,1.45217227974173,"Yellow_vs_Dark","N","Topology=o",0,0
"g_46294",-14.7258500544597,-18.6118453898064,0.0295773405885224,0,0.0855217597650702,0.448771072866827,0.567906185908101,0.112861280285867,"Yellow_vs_Dark","N","Topology=i",0,1
"g_46305",38.6106642238003,14.8205821065539,0.838897678648189,1.03464521854501,0.523111464759387,0.285512977204825,0.344640988342458,0.195211982470057,"Yellow_vs_Dark","N","Topology=o",0,0
"g_46316",-6.42326578561063,7.48817098413145,0.00531352700298494,0.0749929739825876,0.135043237961075,0.716360153676531,0.870141844813892,0.195657265057844,"Yellow_vs_Dark","N","Topology=i85-107o",0,1
"g_46320",21.2552245882613,38.104095759137,0.353530596971065,0.397695866562848,0.376919148449233,0.238563935217889,0.235868931575681,0.0955901863769639,"Yellow_vs_Dark","N","Topology=o",0,0
"g_46324",62.8237656365274,-15.2679317254377,3.89504114723911,3.87016478715767,3.96323458509697,3.91001279906851,4.4371010475631,4.48187771631726,"Yellow_vs_Dark","N","Topology=o",0,0
"g_46327",11.3545219617253,13.5355643833626,0.321023961846901,0.246966352492465,0.254240554466534,1.22962617637565,1.42496136969676,0.508076739238121,"Yellow_vs_Dark","N","Topology=o",0,0
"g_46331",-23.4529771841469,9.43492743668315,0.0815690798612404,0.161477011443642,0.263340363685348,0.376019498150496,0.457379367990886,0.306802967336364,"Yellow_vs_Dark","N","Topology=o",0,0
"g_46343",-0.121993302684628,-33.2696541236782,0.058040910920231,0,0,0.389164488994118,0.375761067850723,0.0500369808558959,"Yellow_vs_Dark","N","Topology=o15-37i",0,1
"g_46349",20.8055378423079,-18.3846405450394,0.0364188823701119,0,0,0.291991869059046,0.154765005343565,0.0283442867281915,"Yellow_vs_Dark","N","Topology=i13-35o114-136i141-163o",0,1
"g_46353",-8.94955089536991,-23.8563113785197,0.151613746751252,0,0.0389403013386241,0.434589340940718,0.539682683109262,0.06006519808157,"Yellow_vs_Dark","Y","Topology=i5-27o42-64i",1,1
"g_46354",9.66329342964388,-19.0481550951439,0,0,0,0.426103776857808,0.233875744683067,0.0741004346641567,"Yellow_vs_Dark","N","Topology=o10-32i64-98o113-135i",0,1
"g_46374",50.7852570592747,14.2183949465349,0.89637319542244,1.08363998135959,0.971600334772784,0.661254556690212,0.680218809426966,0.620615909098817,"Yellow_vs_Dark","N","Topology=o",0,0
"g_46378",-30.3887979633143,-43.15719641321,0.857964477720767,0.76509383323318,0.891359187525842,1.03062271103742,1.1952382745773,1.71957352921093,"Yellow_vs_Dark","N","Topology=o",0,0
"g_46380",17.0158506920501,51.2602877351398,0.128153939385208,0.202332989503207,0.490488444959973,0.217443671403816,0.0796044768759632,0.0900007869199217,"Yellow_vs_Dark","N","Topology=o",0,0
"g_46384",-6.57451218001168,-23.3379658932484,0.112189944798742,0,0.0330934857067914,0.520096491064479,0.503067709671119,0,"Yellow_vs_Dark","N","Topology=o",0,0
"g_46386",14.3649785310081,-44.9753631650432,0.0591050275804024,0,0.0284024631456373,0.305075655448023,0.363458915818981,0.00788853827071845,"Yellow_vs_Dark","Y","Topology=o",1,0
"g_46387",8.53507515474488,-17.1326482168941,0,0,0,0.488675769665065,0.175758751756502,0,"Yellow_vs_Dark","N","Topology=o",0,0
"g_46396",-2.65299713022257,-12.2130199510758,0,0,0,0.539954217451863,0.501441601815767,0.0434491282327785,"Yellow_vs_Dark","Y","Topology=i7-29o57-79i",1,1
"g_46422",12.4111401974213,9.50888729944635,0.469297454344243,0.271090347632802,0.277992003911229,1.46987746963473,1.53687162763925,0.597788614990974,"Yellow_vs_Dark","N","Topology=i20-37o",0,1
"g_46447",-8.34784427808283,9.41845819848699,0.285130455608293,0.0222658412270166,0.0461551656082904,0.720192722114566,0.801230643835,0.0873238193118329,"Yellow_vs_Dark","N","Topology=o",0,0
"g_46453",9.9228018917867,18.5357391646764,0.111666703426322,0.227237090099496,0.211459617953211,1.25582448025389,1.3208534438376,0.323822188659838,"Yellow_vs_Dark","N","Topology=o",0,0
"g_46456",-3.9336856335902,-10.7493033423122,0.01019773272516,0.0584066629952065,0.00763513692757014,0.60543240614397,0.536965781305728,0.0730016314899526,"Yellow_vs_Dark","N","Topology=o",0,0
"g_46481",-49.5833010754105,-18.3367891686231,0.2001782985183,0.256473115914275,0.453267873319503,0.731259011323594,0.864604693467532,0.96962387656301,"Yellow_vs_Dark","N","Topology=o",0,0
"g_46486",-3.23124341722363,-18.656920906443,0.0141284887865076,0,0.0130977232525626,0.519389673179222,0.401753692272291,0.0895865119852525,"Yellow_vs_Dark","N","Topology=o",0,0
"g_46492",-40.3932739422055,-19.7239127981566,0.435055934802113,0.0789140727770501,0.388464087409415,0.862095405354399,0.972300196473652,0.965133846034837,"Yellow_vs_Dark","N","Topology=o",0,0
"g_46494",-46.7699172365371,-27.6370404519275,0.33778062012004,0.271240842952717,0.488656175212295,0.612874837179543,0.847142222935325,1.27380255272636,"Yellow_vs_Dark","N","Topology=o",0,0
"g_46505",7.90274471768411,-19.0035125042411,0,0,0,0.479058513384008,0.236256289907564,0,"Yellow_vs_Dark","N","Topology=o",0,0
"g_46510",-42.8821006145589,8.23733414167057,0.152856836744879,0.0923995409894428,0.0216969200272968,0.671519954348244,0.366380926693956,0.724063095133085,"Yellow_vs_Dark","N","Topology=i",0,1
"g_46512",14.8521913431229,41.8698059173159,0.313753361260644,0.257104975514201,0.304391636968183,0.198378279375171,0.0797657025041742,0.0736318493290863,"Yellow_vs_Dark","N","Topology=i19-41o",0,1
"g_46525",39.6585760143775,24.9237645331513,0.84693697677148,0.683303034334877,0.798143350170576,0.345681842874171,0.460983791498112,0.258285682719303,"Yellow_vs_Dark","N","Topology=o",0,0
"g_46534",-0.918344069550272,11.1741630433257,0.0897889309539604,0.070499267215618,0.056328457383091,1.12328950270971,0.719236212499385,0.0634770990225048,"Yellow_vs_Dark","N","Topology=o",0,0
"g_46547",-8.73978651450782,-13.3815969929684,0.171632565708282,0.0703050141366787,0,0.661790449847509,0.442942665210076,0.12451172384843,"Yellow_vs_Dark","N","Topology=o",0,0
"g_46555",15.2057022288356,0.461341970931588,0.729719295362301,0.66073564437477,0.641272384443032,1.70414281791483,1.92080326847225,0.818895431589452,"Yellow_vs_Dark","N","Topology=o",0,0
"g_46556",32.006815783153,19.0833440784392,0.68787777270321,0.785878834785763,0.570702852222483,0.264334637737708,0.231000380572993,0.188651515161366,"Yellow_vs_Dark","N","Topology=o",0,0
