"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","degs","id"
0.979985048855752,0.666330672156744,2.54964428686646,0.261342602020641,0.793828316103446,1,"Yellow_vs_Dark","OTU99"
0.0392544916382138,0,5.26790435362004,0,1,1,"Yellow_vs_Dark","OTU94"
0.245481484466666,0,5.26790435362004,0,1,1,"Yellow_vs_Dark","OTU95"
145.982403637836,-0.404794511517236,0.283987823422042,-1.4253939011873,0.154043370027661,1,"Yellow_vs_Dark","OTU96"
114.430308485738,0.0891414884174389,0.273933220283282,0.325413209559816,0.744868359316001,1,"Yellow_vs_Dark","OTU97"
0.513355709809486,-1.25725026003391,4.04580522977247,-0.310754025127555,0.755987622969327,1,"Yellow_vs_Dark","OTU90"
0.335085461713555,1.10328300027936,5.20561032123324,0.21194114276652,0.832152952342122,1,"Yellow_vs_Dark","OTU91"
0.122740742233333,0,5.26790435362004,0,1,1,"Yellow_vs_Dark","OTU92"
0.275421849256876,0,5.26790435362004,0,1,1,"Yellow_vs_Dark","OTU93"
0.431799408020352,0,5.26790435362004,0,1,1,"Yellow_vs_Dark","OTU61"
0.620668009012008,1.55658040667576,3.081607056438,0.505119691825667,0.613474771319534,1,"Yellow_vs_Dark","OTU60"
0.453286510436892,0,5.26790435362004,0,1,1,"Yellow_vs_Dark","OTU63"
4.20907606754481,2.70061890442513,1.29663902571666,2.08278391353561,0.037270924528588,0.829152389933907,"Yellow_vs_Dark","OTU62"
7.53939746151735,-0.619981712892215,0.657829177695003,-0.942466120254192,0.345954048923745,1,"Yellow_vs_Dark","OTU65"
0.487563734756415,0,5.26790435362004,0,1,1,"Yellow_vs_Dark","OTU64"
1.72660090014002,1.90497910699012,1.62640810639776,1.17127988940571,0.241486292272036,1,"Yellow_vs_Dark","OTU67"
1.06059964771468,0.648810226213524,2.6587432136103,0.244028916704786,0.807208424496096,1,"Yellow_vs_Dark","OTU66"
3.406343728027,-0.497477390573337,0.780030354059373,-0.637766707390814,0.523625554594537,1,"Yellow_vs_Dark","OTU69"
0.453286510436892,0,5.26790435362004,0,1,1,"Yellow_vs_Dark","OTU68"
1.17338136824802,0,5.26790435362004,0,1,1,"Yellow_vs_Dark","OTU72"
0.274781441467497,0,5.26790435362004,0,1,1,"Yellow_vs_Dark","OTU73"
0.74813726068813,0,5.26790435362005,0,1,1,"Yellow_vs_Dark","OTU70"
0.235526949829283,0,5.26790435362004,0,1,1,"Yellow_vs_Dark","OTU71"
0.458424017264559,0,5.26790435362005,0,1,1,"Yellow_vs_Dark","OTU76"
0.201249725509761,0,5.26790435362004,0,1,1,"Yellow_vs_Dark","OTU77"
0.429533892325372,-1.25724310463256,5.26790435362004,-0.238660958938748,0.811368492241403,1,"Yellow_vs_Dark","OTU74"
0.56909706425236,-0.295462466484059,3.06680419519214,-0.096342135877882,0.923248847117559,1,"Yellow_vs_Dark","OTU75"
0.355028697394674,0,5.26790435362004,0,1,1,"Yellow_vs_Dark","OTU78"
0.240664456656949,0,5.26790435362004,0,1,1,"Yellow_vs_Dark","OTU79"
532.345844729942,-0.103558841855548,0.254005198612805,-0.407703631347361,0.683491271138736,1,"Yellow_vs_Dark","OTU8"
139.651155777489,0.338349681313612,0.773758729995503,0.43728059949072,0.661907863265547,1,"Yellow_vs_Dark","OTU9"
