"log2FoldChange","pvalue","degs","id","Dark1","Dark2","Dark3","Blue1","Blue2","Blue3","Green1","Green2","Green3","Yellow1","Yellow2","Yellow3","Red1","Red2","Red3","UV1","UV2","UV3","mean"
2.8413864765199,0.00155738846067005,"UV_vs_Dark","OTU35",3,3,2,0,2,2,2,2,2,2,7,3,2,6,2,43,15,36,7.44444444444444
6.2523120844314,4.56429027151843e-05,"UV_vs_Dark","OTU32",0,0,1,2,1,1,1,0,0,0,1,0,0,0,0,66,35,40,8.22222222222222
3.71849671605632,0.00161606537487014,"UV_vs_Dark","OTU30",0,4,1,1,0,7,1,5,4,4,5,4,3,2,3,16,27,62,8.27777777777778
-2.94527464759451,0.0167011175520147,"UV_vs_Dark","OTU84",4,2,2,2,2,2,5,4,6,3,2,3,8,7,6,0,1,1,3.33333333333333
8.48374866570224,5.86339234774408e-06,"UV_vs_Dark","OTU14",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,323,122,197,35.8333333333333
2.61748363892995,6.69710344808522e-10,"UV_vs_Dark","OTU15",17,30,10,17,17,9,27,32,45,26,20,32,15,33,16,268,194,150,53.2222222222222
7.77822165459233,2.7632361805163e-07,"UV_vs_Dark","OTU16",1,0,0,0,0,1,0,0,1,1,0,1,1,1,0,214,67,111,22.1666666666667
8.36999359738786,3.97886147138782e-15,"UV_vs_Dark","OTU10",2,0,2,0,0,0,1,0,1,0,1,0,0,1,0,1177,483,625,127.388888888889
10.4071363719836,1.9442767659264e-12,"UV_vs_Dark","OTU11",0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,547,337,405,71.7777777777778
1.69182540612374,4.04718018839623e-06,"UV_vs_Dark","OTU12",48,65,43,19,9,36,31,55,64,59,55,60,37,28,33,244,501,233,90
8.93500397187637,0.00106456791123924,"UV_vs_Dark","OTU19",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,230,94,131,25.3888888888889
-1.3601618648235,0.00121312222664179,"UV_vs_Dark","OTU98",15,17,14,20,11,14,25,28,24,33,33,31,19,23,13,4,25,7,19.7777777777778
-6.59303321561201,3.89081693007564e-34,"UV_vs_Dark","OTU96",162,175,152,133,105,153,165,189,128,156,122,174,185,182,180,0,8,2,131.722222222222
-5.66664633845409,6.66455602854404e-31,"UV_vs_Dark","OTU97",99,84,141,115,103,103,136,120,118,148,130,150,125,168,127,1,12,0,104.444444444444
-3.12198624233824,0.00012153223705981,"UV_vs_Dark","OTU65",4,18,10,7,2,3,10,9,5,9,10,6,15,7,8,1,4,2,7.22222222222222
3.28855318969798,0.0313574523505701,"UV_vs_Dark","OTU67",1,0,0,4,0,1,2,2,2,3,1,1,0,0,1,7,4,7,2
-2.0268197015762,0.0194381930168808,"UV_vs_Dark","OTU69",7,5,3,3,3,4,3,2,1,4,3,6,1,1,4,2,3,2,3.16666666666667
2.30641774797365,3.1586028756947e-20,"UV_vs_Dark","OTU8",304,263,284,219,256,239,269,463,465,285,343,346,202,271,217,2800,2689,2144,669.944444444444
7.07888199807036,5.42587552681323e-23,"UV_vs_Dark","OTU9",4,8,4,4,5,1,4,9,7,2,9,13,9,11,9,1965,565,989,201
1.09144701612767,9.00288146495069e-09,"UV_vs_Dark","OTU6",1117,818,893,1520,1205,895,1721,1828,2584,1986,1625,1481,970,1665,943,3754,5740,2340,1838.05555555556
-2.58770194791721,8.92245878975655e-21,"UV_vs_Dark","OTU7",2476,2408,2358,928,333,749,2313,3194,3031,3308,3822,3402,2776,2647,2390,811,895,535,2132
2.00980022890225,1.19744730656602e-07,"UV_vs_Dark","OTU4",901,906,926,934,820,656,949,915,1052,751,544,649,777,724,678,9919,3369,5145,1700.83333333333
-3.35893309716765,6.9141432265377e-44,"UV_vs_Dark","OTU1",30266,31778,31626,29463,30613,34601,29036,26403,24458,27424,26258,27839,31225,29640,31748,5427,5622,5275,25483.4444444444
-4.61640148014073,7.28277927081889e-09,"UV_vs_Dark","OTU47",16,23,13,14,17,5,11,11,19,32,30,25,22,21,20,2,1,1,15.7222222222222
-1.63949288993748,0.000696874455563337,"UV_vs_Dark","OTU46",8,20,9,8,7,4,14,16,14,21,24,26,14,25,15,7,8,7,13.7222222222222
-1.26931210677083,0.0226596628933802,"UV_vs_Dark","OTU45",11,21,9,4,10,7,10,7,8,11,6,7,8,9,13,4,19,10,9.66666666666667
3.86134822421256,0.0412546005096416,"UV_vs_Dark","OTU44",1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,16,6,5,1.83333333333333
1.97825336237589,0.00111165766903174,"UV_vs_Dark","OTU42",8,6,6,14,4,3,7,7,12,8,6,6,7,1,7,45,45,50,13.4444444444444
-2.35885515142406,0.00177850870580171,"UV_vs_Dark","OTU117",5,22,15,14,9,4,25,14,23,18,22,4,9,18,11,1,13,3,12.7777777777778
-2.16609434357605,1.74371772924115e-12,"UV_vs_Dark","OTU113",472,366,444,477,376,290,483,472,464,569,561,554,534,409,454,147,141,210,412.388888888889
-6.64135423433506,7.10706882683025e-06,"UV_vs_Dark","OTU110",13,11,6,8,9,3,3,7,4,3,11,2,0,6,9,0,0,0,5.27777777777778
-3.60417292086541,0.0404755775242566,"UV_vs_Dark","OTU111",1,2,4,0,0,1,2,4,0,3,0,4,1,3,2,0,1,0,1.55555555555556
2.25726314226283,0.0199670310159056,"UV_vs_Dark","OTU51",1,0,3,3,0,0,5,5,9,5,5,4,2,5,2,13,9,12,4.61111111111111
2.3769650732498,9.81599272337798e-11,"UV_vs_Dark","OTU53",13,17,16,16,11,13,16,26,15,16,21,15,22,14,19,95,270,113,40.4444444444444
-2.51400859082074,0.00539416343913042,"UV_vs_Dark","OTU54",17,10,7,11,13,2,7,3,8,11,10,6,6,3,12,8,3,0,7.61111111111111
4.05063233555226,0.00655549115228566,"UV_vs_Dark","OTU57",0,0,1,1,0,0,1,1,1,3,2,1,0,1,1,12,6,12,2.38888888888889
2.46456260674687,9.8941867277566e-07,"UV_vs_Dark","OTU21",10,6,7,15,3,12,6,10,17,7,10,9,5,6,6,85,90,60,20.2222222222222
