"id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","degs","G3A","G2A","R3A","D2A","Y1A","Y2A","B2A","R1A","D3A","B1A","Y3A","B3A","D1A","G1A","R2A","mean"
"B1A_k97_52039_1",24.8314190241373,1.41853121286112,0.456457896951075,3.10769344190613,0.00188553542697412,0.913232650256703,"Red_vs_Dark",1.017147916,1.649972624,0.810096304,1.2716044,2.048432051,2.03822106,1.657982785,1.533189346,1.358428487,2.732521554,1.721869174,2.750945419,1.211408387,2.134976411,1.827215926,1.7176007896
"B1A_k97_53661_1",73.5211494379781,1.12256674053257,0.462915596223436,2.4249922657407,0.0153087128927205,0.941184664600334,"Red_vs_Dark",3.293621822,5.178375621,3.803595028,4.529333767,4.643112648,3.431976033,5.203515203,3.65576057,5.410426602,7.457739099,2.585039955,10.08203633,4.118788517,5.733936647,3.697936993,4.855012989
"B1A_k97_58217_2",91.6943417953665,-1.15459705130143,0.556771395694695,-2.07373629505664,0.0381038084549262,1,"Green_vs_Dark",4.214179565,2.153483092,1.145416631,0.473879654,1.427959209,1.501266112,0.629051645,1.539929232,0.589615769,0.487761515,1.389727362,0.493399741,0.448127377,1.93262855,1.982723664,1.3606099412
"B1A_k97_58217_2",91.6943417953665,-1.3461591685416,0.558906343097554,-2.40855947542295,0.0160156165135968,0.941184664600334,"Red_vs_Dark",4.214179565,2.153483092,1.145416631,0.473879654,1.427959209,1.501266112,0.629051645,1.539929232,0.589615769,0.487761515,1.389727362,0.493399741,0.448127377,1.93262855,1.982723664,1.3606099412
"B1A_k97_8091_1",26.8665110395599,-1.49433936309237,0.568473856014202,-2.62868616961523,0.00857154234080403,1,"Green_vs_Dark",2.207427391,2.065841338,0.732533892,0.459942017,2.074582247,0.737228894,0.345978404,0.453729149,0.66331774,1.058955921,0.679422266,0.542739715,0.903723544,1.430888446,1.817496692,1.07825384373333
"B2A_k97_10782_1",127.507669893084,1.09650396091067,0.379433865737201,2.88984210405223,0.00385435368188287,0.941184664600334,"Red_vs_Dark",6.816847089,6.22400916,7.680336114,10.39292058,6.696797089,7.729561406,8.255577006,6.014819742,8.926442577,10.59227449,7.062071822,16.43353234,8.762326534,8.129333258,8.363026738,8.53865839633333
"B2A_k97_13033_1",21.6251582420997,1.37240223432611,0.583652240887674,2.35140403511315,0.0187027132576554,0.941184664600334,"Red_vs_Dark",0.471586761,1.64766497,1.001573612,1.17912408,0.75978207,1.511989441,1.182617092,1.163196545,1.00770695,1.809851938,1.161194418,3.246570296,1.684958939,1.513892364,0.988357705,1.35533781206667
"B2A_k97_17392_2",51.2294825280597,2.23474926811867,0.704994717302708,3.169880870411,0.00152501447800798,0.881060343982037,"Red_vs_Dark",2.161439321,2.474958937,0.911358342,2.119340666,0.81937282,1.121021583,1.817404207,1.88164147,1.324467775,2.146981221,1.408802052,14.16111676,1.703543045,1.130281629,1.256210949,2.4291960518
"B2A_k97_21720_1",183.034894623134,1.04429985957902,0.440595997289888,2.37019824511008,0.017778549701093,0.941184664600334,"Red_vs_Dark",4.782759348,6.67955366,5.933524525,7.665700282,3.630518933,4.939433591,8.926242836,6.200965033,5.453945861,7.977467941,5.095666995,14.17907506,7.065474983,7.631405044,4.708968703,6.72471351966667
"B2A_k97_24179_1",41.0479274507577,-1.05918854455349,0.516442941349266,-2.05093043151338,0.0402737220968315,0.948493794253391,"Red_vs_Dark",1.601066164,1.486385595,0.816097017,1.49452764,1.083392951,1.642655195,0.481806963,0.947789777,1.334278647,0.442408252,1.064428217,0.094476913,1.31572411,1.89775681,1.380563144,1.138890493
"B2A_k97_24234_1",55.2201199523957,1.00899695037204,0.388662699828094,2.59607353836197,0.00942958811004626,0.941184664600334,"Red_vs_Dark",4.186366684,2.316641725,3.044256638,3.944204524,4.545362908,4.230917822,5.066580593,4.339879507,3.208751079,5.308899019,3.361352263,6.041549987,4.552345204,4.314899694,2.942779333,4.09365246533333
"B2A_k97_24293_1",36.0807973776391,3.22545247540643,1.62051686974412,1.99038500346851,0.0465485406072053,0.966616411371835,"Red_vs_Dark",0.491701836,1.227103228,0.065268423,0.204903079,0.06601582,0.722554196,0.616530237,0.269513681,0.197004321,0.062901647,0.227010757,10.33649074,0,0.242840919,0.588865796,1.02124697866667
"B2A_k97_26166_1",53.3339180926223,2.58956707616359,1.04373019477197,2.48106942688321,0.0130988857192992,0.941184664600334,"Red_vs_Dark",1.503609962,1.407167288,0.3592601,0.939881513,0.484498711,0.843646282,0.565599479,0.18543713,0.240973401,0.403937969,0.90245001,11.53439882,0.470079124,0.779730515,1.147968266,1.45124257133333
"B2A_k97_27979_2",26.0088874839209,3.5004762747573,1.34717524211415,2.59838227821343,0.00936641551051341,0.941184664600334,"Red_vs_Dark",0.532046602,1.294593905,0,0.554289097,0.107148753,0.21322928,0.7004732,0.437441436,0.106584389,0.612565271,0.736911842,11.96949818,0.118811207,0.197074746,0.238943621,1.18797410193333
"B2A_k97_28061_1",30.6573274941879,2.14709890129008,0.82271832435699,2.60976185618351,0.00906052727365459,0.941184664600334,"Red_vs_Dark",0.960639698,0.629316482,1.147636431,1.200959711,0.967315135,0.673745295,1.174404473,0.789824815,1.828218339,0.460841929,1.219657332,7.085768503,0.214520235,0.800616154,1.72570393,1.39194456413333
"B2A_k97_29732_1",35.4143629241563,2.20644452410762,0.689346417351278,3.20077753154299,0.00137057307702803,0.864898044631016,"Red_vs_Dark",1.182325782,1.659735776,1.177063006,1.601279615,0.952433364,0.355382134,1.890165779,0.85058057,2.013260681,2.835950331,1.228186404,9.266004965,1.320124525,1.861261487,1.460211018,1.97693102913333
"B2A_k97_33547_1",472.668904240799,1.00370308355874,0.375448658410199,2.67334310850604,0.00750993957061413,0.941184664600334,"Red_vs_Dark",5.192090165,7.739797343,8.861107026,10.35465531,8.402415651,7.803162666,9.277044532,7.661088952,8.358159189,10.49681777,6.634840761,16.8234761,7.702024104,9.341237274,7.578292325,8.8150806112
"B2A_k97_35924_1",35.0870963151864,2.927228704003,1.48598026122898,1.96989743429165,0.0488501265554637,0.974621170708523,"Red_vs_Dark",0.785977935,0.980752959,0.486876062,0.436712622,0.140700383,0.279998045,0.788411394,0.359011279,0,0.40218932,0.322554005,10.69306883,0,0.064696255,0,1.04939660593333
"B2A_k97_35924_1",35.0870963151864,-4.87264300250107,1.8220478308111,-2.67426733815872,0.00748927228050108,1,"Yellow_vs_Dark",0.785977935,0.980752959,0.486876062,0.436712622,0.140700383,0.279998045,0.788411394,0.359011279,0,0.40218932,0.322554005,10.69306883,0,0.064696255,0,1.04939660593333
"B2A_k97_36548_1",37.1923452490939,2.60397683703232,0.873715935156195,2.98034719552964,0.00287921844385235,0.941184664600334,"Red_vs_Dark",0.547199828,1.966471755,0.610135824,1.003333429,0.352641467,0.789488158,0.988009216,0.629860295,0.350784065,1.428026635,0.404213247,11.13990441,0.29326817,0.729675482,0.688097137,1.46140727453333
"B2A_k97_37114_3",23.9957164450194,-1.08147702945416,0.497249170980104,-2.17491972349097,0.0296361326132287,1,"Green_vs_Dark",2.648249979,1.749451223,2.357307263,1.298334823,1.505874372,2.122687879,1.171962884,0.768478198,0.748971382,0.717418786,2.013783113,0.459617416,1.94807565,2.769699128,1.818985224,1.60659315466667
"B2A_k97_37584_1",35.5593871757267,1.24042509291327,0.592376780258938,2.09397993684199,0.0362617675336177,0.941184664600334,"Red_vs_Dark",1.976173093,3.328955757,3.738015803,2.882303306,2.586877047,2.17798479,3.345116917,2.843369332,2.37530924,3.602467192,1.824734086,10.5679176,2.647792618,3.659959562,4.215648172,3.451508301
"B2A_k97_38333_1",28.297405368344,2.38133605043315,0.727214203001302,3.27460057931361,0.00105811464542658,0.819064830132971,"Red_vs_Dark",0.589483451,1.471129438,1.251967015,0.655068933,2.374318968,2.204984602,2.51306132,2.423326136,1.57454211,1.357388954,2.177239534,9.275915131,1.404132449,0.727832867,1.941416921,2.12945385526667
"B2A_k97_41514_4",19.906548948834,1.32169075226379,0.629851500935269,2.09841645261019,0.0358683731593657,1,"Green_vs_Dark",0.714525395,1.283894782,0.34144555,1.310137866,2.417488404,1.259991201,1.61265967,1.527429807,1.717682302,1.096879963,1.055631289,0.316224379,2.042374471,0.846932791,0.385074431,1.19522482006667
"B2A_k97_45445_1",61.7348728848414,2.54087131848187,0.752792386983665,3.37526170882624,0.000737455253185929,0.753566230009712,"Red_vs_Dark",0.761543388,0.804928853,0.356778165,0.634704096,0.613468251,0.610410245,0.876239607,0.478805717,0.825614827,0.618913098,0.372274117,6.509361428,0.400141372,0.564164751,0.885205643,1.02083690386667
"B2A_k97_48914_2",18.0048785900601,1.13891908290844,0.545645386840749,2.08728802694129,0.0368621064233488,1,"Yellow_vs_Dark",1.646810911,0.739767946,0.524633797,1.647030461,1.193943252,1.45198986,0.867252534,1.353985396,1.055692996,1.390425934,0.912367043,0.485881269,1.912294669,2.561971693,1.035422358,1.2519646746
"B2A_k97_48965_1",17.1080126033459,-1.22327086867636,0.602824776265438,-2.0292312407175,0.0424347429754751,0.95488592562597,"Red_vs_Dark",2.512442287,1.106490517,0.706237804,1.23175355,1.190541705,1.539989246,0.778303556,1.093603589,1.184270989,0.567190066,0.68232578,0.218023646,0.792074715,2.080233426,0.796478737,1.0986639742
"B2A_k97_49680_1",69.443391345405,1.26392590709277,0.565982627569536,2.23315318443673,0.0255388443658586,0.941184664600334,"Red_vs_Dark",2.305535275,2.157656509,3.121571092,1.825458761,2.600143083,3.788373544,2.341581842,2.843369332,3.787298622,1.681151356,2.55462772,9.353214424,1.853454833,3.757558484,3.831062725,3.18680384013333
"B2A_k97_50456_1",91.4862302854481,1.21229451613285,0.56878381738155,2.13138011154002,0.0330578399989034,0.941184664600334,"Red_vs_Dark",4.188627752,3.779249289,3.507062882,4.028063627,3.028116945,2.41041795,5.009595382,3.26722563,1.72123858,2.473089605,3.371791245,13.38814148,2.398362879,2.864316179,2.315230117,3.8500353028
"B2A_k97_52372_1",64.490109782853,1.63872022376801,0.544058943772998,3.01202699178813,0.00259509521390216,0.916231385296865,"Red_vs_Dark",1.594253116,2.662639947,2.637122011,2.964070776,3.358847448,3.243807135,2.675566328,2.016573995,1.867116601,2.823882457,2.377977931,10.76433768,2.629013947,1.907851261,2.863934182,3.092466321
"B2A_k97_52673_1",31.4590102529713,-1.0210863787836,0.514508287500206,-1.98458684454754,0.0471904571819943,1,"Blue_vs_Dark",1.414760283,1.118058373,1.377163717,0.327534467,0.569836552,0.944993401,1.655663928,1.292440606,0.692798528,1.568538347,0.580597209,0.695693635,0.842479469,1.048079329,1.270745621,1.02662556433333
"B2A_k97_7347_1",51.4408486770804,2.06078506249593,0.75280258067518,2.73748405677307,0.00619111209277511,0.941184664600334,"Red_vs_Dark",1.515235813,1.935217694,1.064817307,0.96572018,0.359003555,1.214527601,0.938778516,0.586261718,0.642802758,1.231445649,0.740710357,10.91354448,0.796157574,1.386634164,1.200876446,1.6994489208
"B2A_k97_8788_1",19.9737439345227,-1.34103008725484,0.50733159921372,-2.64330092849176,0.0082102029096651,0.941184664600334,"Red_vs_Dark",1.673372377,1.357235546,1.554862261,1.627106705,1.685000558,1.229507543,0.839276646,0.802563924,1.117416981,0.321102763,0.901330345,0.30857379,0.996481093,1.756190274,1.753537864,1.19490391133333
"B2A_k97_887_1",152.331033202974,1.32026593608598,0.492806243369671,2.6790771299048,0.00738253862488414,0.941184664600334,"Red_vs_Dark",3.307120272,5.517941236,5.117329659,4.646335931,6.089328063,5.225865145,6.468850868,4.117447394,4.770088228,4.931764116,3.926169652,17.00584441,4.220070202,5.039944315,4.83762905,5.6814485694
"B3A_k97_10003_14",150.636226099772,1.37626737904403,0.459282384974777,2.99656033862393,0.00273044196394748,0.935281440242139,"Red_vs_Dark",1.079253284,1.17690355,1.289339165,1.29058357,1.115103038,1.241185362,1.376778107,1.215279972,1.128030168,1.314618821,1.191524123,4.343758765,1.13168884,1.147151505,0.821875277,1.3908715698
"B3A_k97_12045_10",225.158685427483,1.17479567157575,0.394361937211927,2.97897834634183,0.00289211215655426,0.941184664600334,"Red_vs_Dark",4.360038057,3.486871837,3.788186729,4.913955493,3.632005023,3.733039833,4.882954811,3.910651231,3.811384454,4.487464787,4.071666674,11.0732898,3.850300154,3.413515294,3.382181914,4.45316707273333
